compartments,abundance,growth_rate,reactions,metabolites,sample
C,0.18916318585100206,0.012832715137840458,1462,1193,com_0.558_0.2528_0.1892
medium,,,124,124,com_0.558_0.2528_0.1892
A,0.5422217748440353,0.037873331231237595,1431,1166,com_0.5422_0.2448_0.213
B,0.2448119244716474,0.01709832034681911,872,713,com_0.5422_0.2448_0.213
C,0.21296630068431727,0.014874006625347469,1462,1193,com_0.5422_0.2448_0.213
medium,,,124,124,com_0.5422_0.2448_0.213
A,0.6080893095844025,0.0370584109786883,1431,1166,com_0.6081_0.2704_0.1216
B,0.27035975866142503,0.0164750607455688,872,713,com_0.6081_0.2704_0.1216
C,0.12155093175417242,0.007406465337067192,1462,1193,com_0.6081_0.2704_0.1216
medium,,,124,124,com_0.6081_0.2704_0.1216
A,0.5544116650109011,0.037820150273165216,1431,1166,com_0.5544_0.2559_0.1897
B,0.25592635614055703,0.017457064635360498,872,713,com_0.5544_0.2559_0.1897
C,0.18966197884854186,0.012936827645223307,1462,1193,com_0.5544_0.2559_0.1897
medium,,,124,124,com_0.5544_0.2559_0.1897
A,0.5892536305217202,0.036336001849717595,1431,1166,com_0.5893_0.3071_0.1036
B,0.3071266127567352,0.01893740609310457,872,713,com_0.5893_0.3071_0.1036
C,0.10361975672154461,0.006388524551035309,1462,1193,com_0.5893_0.3071_0.1036
medium,,,124,124,com_0.5893_0.3071_0.1036
A,0.5500387649190722,0.037651646153056814,1431,1166,com_0.55_0.2677_0.1822
B,0.26774633333933867,0.018326540235195213,872,713,com_0.55_0.2677_0.1822
C,0.1822149017415891,0.01247181672008207,1462,1193,com_0.55_0.2677_0.1822
medium,,,124,124,com_0.55_0.2677_0.1822
A,0.554496175105439,0.03727579116914138,1431,1166,com_0.5545_0.2867_0.1588
B,0.2866789738372921,0.019270441883772665,872,713,com_0.5545_0.2867_0.1588
C,0.1588248510572689,0.010675694722350946,1462,1193,com_0.5545_0.2867_0.1588
medium,,,124,124,com_0.5545_0.2867_0.1588
A,0.5499061599155755,0.03719742292275901,1431,1166,com_0.5499_0.2907_0.1594
B,0.29069719224503365,0.019662234410110724,872,713,com_0.5499_0.2907_0.1594
C,0.1593966478393909,0.010780850444153736,1462,1193,com_0.5499_0.2907_0.1594
medium,,,124,124,com_0.5499_0.2907_0.1594
A,0.5983672466681973,0.03698301924674584,1431,1166,com_0.5984_0.28_0.1216
B,0.2800170076653238,0.017305551183834717,872,713,com_0.5984_0.28_0.1216
C,0.12161574566647892,0.0075155046126757245,1462,1193,com_0.5984_0.28_0.1216
medium,,,124,124,com_0.5984_0.28_0.1216
A,0.5541182694168704,0.03795772954639863,1431,1166,com_0.5541_0.2415_0.2043
B,0.24154841222551376,0.016544967324680408,872,713,com_0.5541_0.2415_0.2043
C,0.20433331835761587,0.013995748634126844,1462,1193,com_0.5541_0.2415_0.2043
medium,,,124,124,com_0.5541_0.2415_0.2043
A,0.5485232000416661,0.03694477535080752,1431,1166,com_0.5485_0.3009_0.1506
B,0.3008758625903282,0.020263463215486492,872,713,com_0.5485_0.3009_0.1506
C,0.15060093736800567,0.010142210324661482,1462,1193,com_0.5485_0.3009_0.1506
medium,,,124,124,com_0.5485_0.3009_0.1506
A,0.5484204706974635,0.0375849275530847,1431,1166,com_0.5484_0.2718_0.1798
B,0.27177039542283193,0.01862382085822271,872,713,com_0.5484_0.2718_0.1798
C,0.1798091338797046,0.012321581721885686,1462,1193,com_0.5484_0.2718_0.1798
medium,,,124,124,com_0.5484_0.2718_0.1798
A,0.5569760110638087,0.037550853122494156,1431,1166,com_0.557_0.2731_0.1699
B,0.2730942255244271,0.018410367906848583,872,713,com_0.557_0.2731_0.1699
C,0.16992976341176425,0.01145526344368443,1462,1193,com_0.557_0.2731_0.1699
medium,,,124,124,com_0.557_0.2731_0.1699
A,0.5960209430673898,0.03613817821032003,1431,1166,com_0.596_0.3096_0.0944
B,0.3095569407465789,0.018767802875944862,872,713,com_0.596_0.3096_0.0944
C,0.09442211618603125,0.005723924410101453,1462,1193,com_0.596_0.3096_0.0944
medium,,,124,124,com_0.596_0.3096_0.0944
A,0.5631634874665241,0.036684465786290456,1431,1166,com_0.5632_0.3067_0.1301
B,0.30669835320918926,0.019976879259148726,872,713,com_0.5632_0.3067_0.1301
C,0.13013815932428663,0.008476008134650445,1462,1193,com_0.5632_0.3067_0.1301
medium,,,124,124,com_0.5632_0.3067_0.1301
A,0.5541425684533694,0.037918490642779044,1431,1166,com_0.5541_0.2465_0.1993
B,0.24654639762915742,0.01686912878397442,872,713,com_0.5541_0.2465_0.1993
C,0.19931103391747318,0.013637012328142468,1462,1193,com_0.5541_0.2465_0.1993
medium,,,124,124,com_0.5541_0.2465_0.1993
A,0.5486520636900215,0.03781030072839693,1431,1166,com_0.5487_0.2559_0.1955
B,0.25587307693566186,0.017632059505659926,872,713,com_0.5487_0.2559_0.1955
C,0.19547485937431663,0.013469818690659333,1462,1193,com_0.5487_0.2559_0.1955
medium,,,124,124,com_0.5487_0.2559_0.1955
A,0.5571930482355952,0.036820050922005194,1431,1166,com_0.5572_0.3037_0.1391
B,0.30371695600140003,0.020068556237964885,872,713,com_0.5572_0.3037_0.1391
C,0.13908999576300474,0.009190039353936056,1462,1193,com_0.5572_0.3037_0.1391
medium,,,124,124,com_0.5572_0.3037_0.1391
A,0.5853606507068166,0.03718258405409745,1431,1166,com_0.5854_0.2796_0.135
B,0.2796240830915335,0.017760587777840373,872,713,com_0.5854_0.2796_0.135
C,0.13501526620164983,0.008575105018253405,1462,1193,com_0.5854_0.2796_0.135
medium,,,124,124,com_0.5854_0.2796_0.135
