,EX_arg_L_m,EX_chol_m,EX_co2_m,EX_cys_L_m,EX_gal_m,EX_h_m,EX_hco3_m,EX_his_L_m,EX_ile_L_m,EX_inost_m,EX_leu_L_m,EX_lys_L_m,EX_met_L_m,EX_nh4_m,EX_o2_m,EX_phe_L_m,EX_pi_m,EX_thr_L_m,EX_trp_L_m,EX_tyr_L_m,EX_val_L_m,EX_h2o_m
com_0.5924_0.2647_0.1429,0.009518527512720988,0.004555677592000562,-0.021556014324740636,0.0012338900651145332,0.111,-0.20456584258236843,-0.21778656577777628,0.04859629504262268,0.007579636894836723,0.0006177266296233289,0.014453981794252158,0.015687845364241282,0.004054236708780085,-0.010671498002371063,0.12362789559471202,0.00687460984725733,0.03289657263801182,0.008284663942418148,0.0003525400186056638,0.004230427233636031,0.009342336987865041,
com_0.5971_0.291_0.1119,0.009518527512938645,0.0045556775921057795,-0.22612185690512643,0.0012338900651465367,0.111,,-0.013220723203385742,0.048596295045360276,0.007579636895011917,0.0006177266296399761,0.014453981794265491,0.01568784536460232,0.0040542367088737385,-0.010671498009140853,0.12362789559557567,0.006874609847416332,0.03289657263971182,0.008284663942607502,0.000352540018614295,0.004230427233733763,0.009342336988080211,-0.20456584256807583
com_0.5465_0.2845_0.169,0.009518527512935644,0.004555677592102707,-0.22612185690501696,0.0012338900651453915,0.111,,-0.013220723202761242,0.048596295045081256,0.007579636895009022,0.000617726629634308,0.014453981794261626,0.01568784536459252,0.004054236708872094,-0.01067149800890305,0.12362789559527504,0.0068746098474132935,0.03289657263866422,0.008284663942604749,0.0003525400186136927,0.004230427233732655,0.009342336988075083,-0.2045658425684529
com_0.5955_0.2621_0.1424,0.009518527512939641,0.004555677592105183,-0.021556014336681972,0.001233890065149179,0.111,-0.20456584256841848,-0.21778656577134203,0.048596295045175715,0.007579636895011069,0.000617726629637395,0.014453981794268758,0.015687845364601036,0.004054236708874539,-0.010671498008996978,0.12362789559539993,0.006874609847414775,0.03289657263875331,0.008284663942607361,0.0003525400186128434,0.004230427233732823,0.009342336988077309,
com_0.5599_0.235_0.2051,0.009518527512897192,0.004555677592086114,-0.02155601433520693,0.001233890065144072,0.111,-0.2045658425675736,-0.21778656577188293,0.048596295044860315,0.007579636894978428,0.0006177266296385715,0.014453981794214123,0.015687845364533885,0.004054236708856004,-0.010671498008118075,0.12362789559526237,0.006874609847385836,0.03289657264086578,0.008284663942571019,0.0003525400186125338,0.0042304272337150145,0.009342336988038182,
com_0.5736_0.2962_0.1302,0.009518527512965586,0.004555677592117851,-0.22612185690501874,0.0012338900651609058,0.111,,-0.013220723203995144,0.04859629504552629,0.007579636895032623,0.0006177266296406842,0.014453981794309559,0.01568784536464509,0.004054236708885361,-0.010671498009826608,0.12362789559567963,0.006874609847435193,0.03289657263879724,0.008284663942630053,0.00035254001861435597,0.004230427233744692,0.009342336988108105,-0.20456584256603239
com_0.5839_0.2371_0.179,0.009518527512938196,0.004555677592104166,-0.22612185690501807,0.0012338900651465076,0.111,,-0.013220723202862827,0.048596295045126726,0.007579636895008136,0.0006177266296374218,0.014453981794261668,0.015687845364594836,0.004054236708872147,-0.010671498008906002,0.12362789559535763,0.0068746098474124565,0.03289657263874412,0.008284663942603816,0.0003525400186146163,0.004230427233731669,0.009342336988073586,-0.20456584256844323
com_0.5436_0.2487_0.2078,0.009518527512931103,0.004555677592101915,-0.22612185690464592,0.001233890065159798,0.111,,-0.013220723203972273,0.04859629504519492,0.007579636895004352,0.000617726629638455,0.014453981794257118,0.015687845364587148,0.004054236708871781,-0.010671498007954411,0.12362789559548984,0.006874609847410581,0.03289657263875167,0.008284663942601075,0.00035254001861266657,0.004230427233729294,0.00934233698807359,-0.2045658425687089
com_0.595_0.2445_0.1605,0.00951852751293646,0.0045556775921037325,-0.02155601433672727,0.0012338900651546192,0.111,-0.2045658425681378,-0.21778656577124034,0.04859629504516561,0.007579636895006445,0.0006177266296369171,0.0144539817942686,0.015687845364598035,0.004054236708872127,-0.010671498009025365,0.1236278955953602,0.006874609847413763,0.03289657263878579,0.008284663942605968,0.00035254001861411593,0.004230427233731561,0.009342336988079306,
com_0.5575_0.3094_0.133,0.009518527512935929,0.004555677592102631,-0.02155601433642307,0.0012338900651371297,0.111,-0.20456584256868093,-0.2177865657714244,0.04859629504508328,0.00757963689500726,0.0006177266296372646,0.014453981794265127,0.015687845364591457,0.004054236708872292,-0.01067149800877556,0.12362789559532546,0.006874609847411588,0.032896572638746,0.008284663942602933,0.000352540018614064,0.00423042723373064,0.009342336988075689,
